yadmNm,sidoCdNm,sgguCdNm,clCdNm,진료과목검색
가톨릭대학교 성빈센트병원,경기,수원팔달구,상급종합,소아청소년과
가톨릭대학교인천성모병원,인천,인천부평구,상급종합,소아청소년과
강릉아산병원,강원,강릉시,상급종합,소아청소년과
강북삼성병원,서울,종로구,상급종합,소아청소년과
건국대학교병원,서울,광진구,상급종합,소아청소년과
경북대학교병원,대구,대구중구,상급종합,소아청소년과
경상국립대학교병원,경남,진주시,상급종합,소아청소년과
경희대학교병원,서울,동대문구,상급종합,소아청소년과
계명대학교동산병원,대구,대구달서구,상급종합,소아청소년과
고려대학교의과대학부속구로병원,서울,구로구,상급종합,소아청소년과
고려대학교의과대학부속안산병원,경기,안산단원구,상급종합,소아청소년과
고신대학교복음병원,부산,부산서구,상급종합,소아청소년과
단국대학교의과대학부속병원,충남,천안동남구,상급종합,소아청소년과
대구가톨릭대학교병원,대구,대구남구,상급종합,소아청소년과
동아대학교병원,부산,부산서구,상급종합,소아청소년과
부산대학교병원,부산,부산서구,상급종합,소아청소년과
분당서울대학교병원,경기,성남분당구,상급종합,소아청소년과
삼성서울병원,서울,강남구,상급종합,소아청소년과
서울대학교병원,서울,종로구,상급종합,소아청소년과
순천향대학교부속부천병원,경기,부천원미구,상급종합,소아청소년과
아주대학교병원,경기,수원영통구,상급종합,소아청소년과
양산부산대학교병원,경남,양산시,상급종합,소아청소년과
연세대학교 원주세브란스기독병원,강원,원주시,상급종합,소아청소년과
연세대학교의과대학 강남세브란스병원,서울,강남구,상급종합,소아청소년과
연세대학교의과대학세브란스병원,서울,서대문구,상급종합,소아청소년과
영남대학교병원,대구,대구남구,상급종합,소아청소년과
원광대학교병원,전북,익산시,상급종합,소아청소년과
의료법인 길의료재단 길병원,인천,인천남동구,상급종합,소아청소년과
이화여자대학교의과대학부속목동병원,서울,양천구,상급종합,소아청소년과
인제대학교부산백병원,부산,부산진구,상급종합,소아청소년과
인하대학교의과대학부속병원,인천,인천제물포구,상급종합,소아청소년과
재단법인아산사회복지재단 서울아산병원,서울,송파구,상급종합,소아청소년과
전남대학교병원,전남광주,광주동구,상급종합,소아청소년과
전북대학교병원,전북,전주덕진구,상급종합,소아청소년과
조선대학교병원,전남광주,광주동구,상급종합,소아청소년과
중앙대학교병원,서울,동작구,상급종합,소아청소년과
충남대학교병원,대전,대전중구,상급종합,소아청소년과
충북대학교병원,충북,청주서원구,상급종합,소아청소년과
칠곡경북대학교병원,대구,대구북구,상급종합,소아청소년과
학교법인 건양교육재단 건양대학교병원,대전,대전서구,상급종합,소아청소년과
학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),서울,성북구,상급종합,소아청소년과
학교법인 울산공업학원 울산대학교병원,울산,울산동구,상급종합,소아청소년과
학교법인가톨릭학원가톨릭대학교서울성모병원,서울,서초구,상급종합,소아청소년과
학교법인성균관대학삼성창원병원,경남,창원마산회원구,상급종합,소아청소년과
한림대학교성심병원,경기,안양동안구,상급종합,소아청소년과
한양대학교병원,서울,성동구,상급종합,소아청소년과
화순전남대학교병원,전남광주,화순군,상급종합,소아청소년과
(의)나사렛의료재단 나사렛국제병원,인천,인천연수구,종합병원,소아청소년과
(의)성세의료재단 뉴성민병원,인천,인천서해구,종합병원,소아청소년과
(의)영문의료재단 다보스병원,경기,용인처인구,종합병원,소아청소년과
KS병원,전남광주,광주광산구,종합병원,소아청소년과
가톨릭관동대학교 국제성모병원,인천,인천서해구,종합병원,소아청소년과
가톨릭대학교 여의도성모병원,서울,영등포구,종합병원,소아청소년과
가톨릭대학교 은평성모병원,서울,은평구,종합병원,소아청소년과
가톨릭대학교부천성모병원,경기,부천원미구,종합병원,소아청소년과
가톨릭대학교의정부성모병원,경기,의정부시,종합병원,소아청소년과
강남병원,경기,용인기흥구,종합병원,소아청소년과
강동경희대학교병원,서울,강동구,종합병원,소아청소년과
강원대학교병원,강원,춘천시,종합병원,소아청소년과
강원특별자치도강릉의료원,강원,강릉시,종합병원,소아청소년과
강원특별자치도삼척의료원,강원,삼척시,종합병원,소아청소년과
강원특별자치도속초의료원,강원,속초시,종합병원,소아청소년과
강원특별자치도영월의료원,강원,영월군,종합병원,소아청소년과
강원특별자치도원주의료원,강원,원주시,종합병원,소아청소년과
강일병원,경남,김해시,종합병원,소아청소년과
건국대학교 충주병원,충북,충주시,종합병원,소아청소년과
검단탑병원,인천,인천검단구,종합병원,소아청소년과
경기도의료원 수원병원,경기,수원장안구,종합병원,소아청소년과
경기도의료원 안성병원,경기,안성시,종합병원,소아청소년과
경기도의료원 이천병원,경기,이천시,종합병원,소아청소년과
경기도의료원의정부병원,경기,의정부시,종합병원,소아청소년과
경기도의료원파주병원,경기,파주시,종합병원,소아청소년과
경기도의료원포천병원,경기,포천시,종합병원,소아청소년과
경상남도마산의료원,경남,창원마산합포구,종합병원,소아청소년과
경상북도김천의료원,경북,김천시,종합병원,소아청소년과
경상북도안동의료원,경북,안동시,종합병원,소아청소년과
경상북도포항의료원,경북,포항북구,종합병원,소아청소년과
경찰병원,서울,송파구,종합병원,소아청소년과
계명대학교대구동산병원,대구,대구중구,종합병원,소아청소년과
곽병원,대구,대구중구,종합병원,소아청소년과
광명성애병원,경기,광명시,종합병원,소아청소년과
광양사랑병원,전남광주,광양시,종합병원,소아청소년과
광주기독병원,전남광주,광주남구,종합병원,소아청소년과
광주보훈병원,전남광주,광주광산구,종합병원,소아청소년과
광주센트럴병원,전남광주,광주광산구,종합병원,소아청소년과
광주수완병원,전남광주,광주광산구,종합병원,소아청소년과
광주씨티병원,전남광주,광주남구,종합병원,소아청소년과
광주일곡병원,전남광주,광주북구,종합병원,소아청소년과
광주한국병원,전남광주,광주서구,종합병원,소아청소년과
광주현대병원,전남광주,광주북구,종합병원,소아청소년과
광주희망병원,전남광주,광주북구,종합병원,소아청소년과
구미강동병원,경북,구미시,종합병원,소아청소년과
국군수도병원,경기,성남분당구,종합병원,소아청소년과
국립소방병원,충북,음성군,종합병원,소아청소년과
국립암센터,경기,고양일산동구,종합병원,소아청소년과
국립중앙의료원,서울,중구,종합병원,소아청소년과
국민건강보험공단일산병원,경기,고양일산동구,종합병원,소아청소년과
근로복지공단 창원병원,경남,창원성산구,종합병원,소아청소년과
근로복지공단 태백병원,강원,태백시,종합병원,소아청소년과
근로복지공단안산병원,경기,안산상록구,종합병원,소아청소년과
근로복지공단인천병원,인천,인천부평구,종합병원,소아청소년과
기쁨병원,서울,서초구,종합병원,소아청소년과
나사렛종합병원,대구,대구달서구,종합병원,소아청소년과
노원을지대학교병원,서울,노원구,종합병원,소아청소년과
녹색병원,서울,중랑구,종합병원,소아청소년과
당진종합병원,충남,당진시,종합병원,소아청소년과
대구굿모닝병원,대구,대구서구,종합병원,소아청소년과
대구의료원,대구,대구서구,종합병원,소아청소년과
대구파티마병원,대구,대구동구,종합병원,소아청소년과
대동병원,부산,부산동래구,종합병원,소아청소년과
대림성모병원,서울,영등포구,종합병원,소아청소년과
대아의료재단한도병원,경기,안산단원구,종합병원,소아청소년과
대자인병원,전북,전주덕진구,종합병원,소아청소년과
대전보훈병원,대전,대전대덕구,종합병원,소아청소년과
대전한국병원,대전,대전동구,종합병원,소아청소년과
대진의료재단 분당제생병원,경기,성남분당구,종합병원,소아청소년과
더블유병원,대구,대구달서구,종합병원,소아청소년과
동국대학교의과대학경주병원,경북,경주시,종합병원,소아청소년과
동국대학교일산불교병원,경기,고양일산동구,종합병원,소아청소년과
동남권원자력의학원원자력병원,부산,부산기장군,종합병원,소아청소년과
동래봉생병원,부산,부산동래구,종합병원,소아청소년과
드림종합병원,대구,대구남구,종합병원,소아청소년과
목포기독병원,전남광주,목포시,종합병원,소아청소년과
목포한국병원,전남광주,목포시,종합병원,소아청소년과
미래로21병원,전남광주,광주서구,종합병원,소아청소년과
미즈메디병원,서울,강서구,종합병원,소아청소년과
베데스다복음병원,경남,양산시,종합병원,소아청소년과
부민병원,서울,강서구,종합병원,소아청소년과
부산광역시의료원,부산,부산연제구,종합병원,소아청소년과
부산성모병원(재단법인 천주교부산교구유지재단),부산,부산남구,종합병원,소아청소년과
부안성모병원,전북,부안군,종합병원,소아청소년과
부천세종병원,경기,부천소사구,종합병원,소아청소년과
부평세림병원,인천,인천부평구,종합병원,소아청소년과
비에스길종합병원,부산,부산연제구,종합병원,소아청소년과
비에이치에스한서병원,부산,부산수영구,종합병원,소아청소년과
빌리브세웅병원,부산,부산동래구,종합병원,소아청소년과
빛가람종합병원,전남광주,나주시,종합병원,소아청소년과
빛고을전남대학교병원,전남광주,광주남구,종합병원,소아청소년과
삼육부산병원,부산,부산서구,종합병원,소아청소년과
삼육서울병원,서울,동대문구,종합병원,소아청소년과
삼일병원,대구,대구달서구,종합병원,소아청소년과
상무병원,전남광주,광주서구,종합병원,소아청소년과
상주적십자병원,경북,상주시,종합병원,소아청소년과
서광병원,전남광주,광주서구,종합병원,소아청소년과
서남대학교병원,전남광주,광주동구,종합병원,소아청소년과
서산중앙병원,충남,서산시,종합병원,소아청소년과
서울산보람병원,울산,울산울주군,종합병원,소아청소년과
서울성심병원,서울,동대문구,종합병원,소아청소년과
서울적십자병원,서울,종로구,종합병원,소아청소년과
서울특별시 동부병원,서울,동대문구,종합병원,소아청소년과
서울특별시보라매병원,서울,동작구,종합병원,소아청소년과
서울특별시서남병원,서울,양천구,종합병원,소아청소년과
서울특별시서울의료원,서울,중랑구,종합병원,소아청소년과
성가롤로병원,전남광주,순천시,종합병원,소아청소년과
성남시의료원,경기,성남수정구,종합병원,소아청소년과
성남중앙병원,경기,성남중원구,종합병원,소아청소년과
성심의료재단강동성심병원,서울,강동구,종합병원,소아청소년과
성애의료재단 성애병원,서울,영등포구,종합병원,소아청소년과
세란병원,서울,종로구,종합병원,소아청소년과
세종여주병원,경기,여주시,종합병원,소아청소년과
세종충남대학교병원,세종시,세종시,종합병원,소아청소년과
순천의료재단 성남정병원,경기,성남수정구,종합병원,소아청소년과
순천중앙병원,전남광주,순천시,종합병원,소아청소년과
순천향대학교 부속 구미병원,경북,구미시,종합병원,소아청소년과
순천향대학교 부속 서울병원,서울,용산구,종합병원,소아청소년과
순천향대학교부속 천안병원,충남,천안동남구,종합병원,소아청소년과
아산충무병원,충남,아산시,종합병원,소아청소년과
안동성소병원,경북,안동시,종합병원,소아청소년과
양산성모병원,경남,양산시,종합병원,소아청소년과
여수전남병원,전남광주,여수시,종합병원,소아청소년과
여천전남병원,전남광주,여수시,종합병원,소아청소년과
연세대학교 의과대학 용인세브란스병원,경기,용인기흥구,종합병원,소아청소년과
연세에스병원,경남,창원진해구,종합병원,소아청소년과
영광종합병원,전남광주,영광군,종합병원,소아청소년과
영남대학교의과대학부속영천병원,경북,영천시,종합병원,소아청소년과
영도병원,부산,부산영도구,종합병원,소아청소년과
영주적십자병원,경북,영주시,종합병원,소아청소년과
오산한국병원,경기,오산시,종합병원,소아청소년과
온누리병원,인천,인천검단구,종합병원,소아청소년과
온재병원,강원,속초시,종합병원,소아청소년과
운암한국병원,전남광주,광주북구,종합병원,소아청소년과
울산병원,울산,울산남구,종합병원,소아청소년과
울산엘리야병원,울산,울산북구,종합병원,소아청소년과
원광대학교 산본병원,경기,군포시,종합병원,소아청소년과
의료법인 강릉동인병원,강원,강릉시,종합병원,소아청소년과
의료법인 거붕 백병원,경남,거제시,종합병원,소아청소년과
의료법인 건명의료재단 중앙제일병원,충북,진천군,종합병원,소아청소년과
의료법인 광혜의료재단 광혜병원,부산,부산동래구,종합병원,소아청소년과
의료법인 근원의료재단 경산중앙병원,경북,경산시,종합병원,소아청소년과
의료법인 남촌의료재단 시화병원,경기,시흥시,종합병원,소아청소년과
의료법인 녹산의료재단동수원병원,경기,수원팔달구,종합병원,소아청소년과
의료법인 대우의료재단대우병원,경남,거제시,종합병원,소아청소년과
의료법인 덕산의료재단 수원덕산병원,경기,수원권선구,종합병원,소아청소년과
의료법인 동강의료재단 동강병원,울산,울산중구,종합병원,소아청소년과
의료법인 동강의료재단 동천동강병원,울산,울산중구,종합병원,소아청소년과
의료법인 동해동인병원,강원,동해시,종합병원,소아청소년과
의료법인 록향의료재단 신천연합병원,경기,시흥시,종합병원,소아청소년과
의료법인 명인의료재단 화홍병원,경기,수원권선구,종합병원,소아청소년과
의료법인 명지의료재단 명지병원,충북,제천시,종합병원,소아청소년과
의료법인 문병욱의료재단 진주고려병원,경남,진주시,종합병원,소아청소년과
의료법인 박애의료재단 박애병원,경기,평택시,종합병원,소아청소년과
의료법인 백제병원,충남,논산시,종합병원,소아청소년과
의료법인 서명의료재단 세명종합병원,경북,경산시,종합병원,소아청소년과
의료법인 석경의료재단 센트럴병원,경기,시흥시,종합병원,소아청소년과
의료법인 성념의료재단맑은샘병원,경남,거제시,종합병원,소아청소년과
의료법인 성수의료재단 인천백병원,인천,인천제물포구,종합병원,소아청소년과
의료법인 센텀의료재단 센텀종합병원,부산,부산수영구,종합병원,소아청소년과
의료법인 송은의료재단 울산시티병원,울산,울산북구,종합병원,소아청소년과
의료법인 양진의료재단 평택성모병원,경기,평택시,종합병원,소아청소년과
의료법인 영서의료재단 천안충무병원,충남,천안서북구,종합병원,소아청소년과
의료법인 영제 의료재단 엔케이세종병원,세종시,세종시,종합병원,소아청소년과
의료법인 영훈의료재단 대전선병원,대전,대전중구,종합병원,소아청소년과
의료법인 예당의료재단 예산종합병원,충남,예산군,종합병원,소아청소년과
의료법인 온그룹의료재단 온병원,부산,부산진구,종합병원,소아청소년과
의료법인 우범의료재단 장흥종합병원,전남광주,장흥군,종합병원,소아청소년과
의료법인 은성의료재단 좋은강안병원,부산,부산수영구,종합병원,소아청소년과
의료법인 은성의료재단 좋은삼선병원,부산,부산사상구,종합병원,소아청소년과
의료법인 은성의료재단 좋은삼정병원,울산,울산남구,종합병원,소아청소년과
의료법인 은혜와감사의료재단 화성중앙종합병원,경기,화성만세구,종합병원,소아청소년과
의료법인 인당의료재단 부민병원,부산,부산북구,종합병원,소아청소년과
의료법인 인당의료재단 해운대부민병원,부산,부산해운대구,종합병원,소아청소년과
의료법인 인천사랑병원,인천,인천미추홀구,종합병원,소아청소년과
의료법인 인화재단 한국병원,충북,청주상당구,종합병원,소아청소년과
의료법인 일심의료재단 포천우리병원,경기,포천시,종합병원,소아청소년과
의료법인 자산의료재단 제천서울병원,충북,제천시,종합병원,소아청소년과
의료법인 정산의료재단 효성병원,충북,청주상당구,종합병원,소아청소년과
의료법인 정안의료재단 중앙병원,울산,울산남구,종합병원,소아청소년과
의료법인 중앙의료재단 중앙병원,제주,제주시,종합병원,소아청소년과
의료법인 청구성심병원,서울,은평구,종합병원,소아청소년과
의료법인 토마스의료재단 윌스기념병원,경기,수원팔달구,종합병원,소아청소년과
의료법인 플러스의료재단 단원병원,경기,안산단원구,종합병원,소아청소년과
의료법인 행도의료재단 해동병원,부산,부산영도구,종합병원,소아청소년과
의료법인 혜인의료재단 한국병원,제주,제주시,종합병원,소아청소년과
의료법인거명의료재단 영광기독병원,전남광주,영광군,종합병원,소아청소년과
의료법인대인의료재단 다니엘종합병원,경기,부천원미구,종합병원,소아청소년과
의료법인덕산의료재단김천제일병원,경북,김천시,종합병원,소아청소년과
의료법인동춘의료재단문경제일병원,경북,문경시,종합병원,소아청소년과
의료법인루가의료재단 나은병원,인천,인천서해구,종합병원,소아청소년과
의료법인명지의료재단명지병원,경기,고양덕양구,종합병원,소아청소년과
의료법인목포구암의료재단 목포중앙병원,전남광주,목포시,종합병원,소아청소년과
의료법인백송의료재단 굿모닝병원,경기,평택시,종합병원,소아청소년과
의료법인삼백의료재단상주성모병원,경북,상주시,종합병원,소아청소년과
의료법인서울효천의료재단 에이치플러스양지병원,서울,관악구,종합병원,소아청소년과
의료법인석천재단고창병원,전북,고창군,종합병원,소아청소년과
의료법인성광의료재단일산차병원,경기,고양일산동구,종합병원,소아청소년과
의료법인숭인의료재단 김해복음병원,경남,김해시,종합병원,소아청소년과
의료법인안동병원,경북,안동시,종합병원,소아청소년과
의료법인영경의료재단전주병원,전북,전주완산구,종합병원,소아청소년과
의료법인영성의료재단 고흥종합병원,전남광주,고흥군,종합병원,소아청소년과
의료법인영훈의료재단 유성선병원,대전,대전유성구,종합병원,소아청소년과
의료법인우리의료재단김포우리병원,경기,김포시,종합병원,소아청소년과
의료법인은성의료재단좋은선린병원,경북,포항북구,종합병원,소아청소년과
의료법인인봉의료재단뉴고려병원,경기,김포시,종합병원,소아청소년과
의료법인정화의료재단 봉생기념병원,부산,부산동구,종합병원,소아청소년과
의료법인청아의료재단청아병원,경남,창원마산회원구,종합병원,소아청소년과
의료법인칠석의료재단사랑의병원,경기,안산상록구,종합병원,소아청소년과
의료법인풍산의료재단동부제일병원,서울,중랑구,종합병원,소아청소년과
의료법인한국의료재단 순천한국병원,전남광주,순천시,종합병원,소아청소년과
의료법인한마음의료재단 여수제일병원,전남광주,여수시,종합병원,소아청소년과
의료법인한마음의료재단하나병원,충북,청주흥덕구,종합병원,소아청소년과
의료법인한성재단포항세명기독병원,경북,포항남구,종합병원,소아청소년과
의료법인한전의료재단 한일병원,서울,도봉구,종합병원,소아청소년과
의료법인합포의료재단에스엠지연세병원,경남,창원마산합포구,종합병원,소아청소년과
의료법인해민의료재단 세안종합병원,전남광주,목포시,종합병원,소아청소년과
의료법인행촌의료재단 해남종합병원,전남광주,해남군,종합병원,소아청소년과
의료법인현경의료재단 광양서울병원,전남광주,광양시,종합병원,소아청소년과
의료법인환명의료재단 조은금강병원,경남,김해시,종합병원,소아청소년과
이화여자대학교의과대학부속서울병원,서울,강서구,종합병원,소아청소년과
익산병원,전북,익산시,종합병원,소아청소년과
인제대학교 상계백병원,서울,노원구,종합병원,소아청소년과
인제대학교 해운대백병원,부산,부산해운대구,종합병원,소아청소년과
인제대학교일산백병원,경기,고양일산서구,종합병원,소아청소년과
인천광역시의료원,인천,인천제물포구,종합병원,소아청소년과
인천기독병원,인천,인천제물포구,종합병원,소아청소년과
인천세종병원,인천,인천계양구,종합병원,소아청소년과
인천힘찬종합병원,인천,인천남동구,종합병원,소아청소년과
재단법인 아산사회복지재단 부속 보령아산병원,충남,보령시,종합병원,소아청소년과
재단법인 아산사회복지재단 정읍아산병원,전북,정읍시,종합병원,소아청소년과
재단법인베스티안재단베스티안병원,충북,청주흥덕구,종합병원,소아청소년과
재단법인베스티안재단베스티안서울병원,서울,성동구,종합병원,소아청소년과
재단법인예수병원유지재단예수병원,전북,전주완산구,종합병원,소아청소년과
재단법인일신기독교선교회 일신기독병원,부산,부산동구,종합병원,소아청소년과
재단법인천주교부산교구유지재단 메리놀병원,부산,부산중구,종합병원,소아청소년과
전라남도 강진의료원,전남광주,강진군,종합병원,소아청소년과
전라남도 순천의료원,전남광주,순천시,종합병원,소아청소년과
전북특별자치도 군산의료원,전북,군산시,종합병원,소아청소년과
전북특별자치도 남원의료원,전북,남원시,종합병원,소아청소년과
제일병원,경남,진주시,종합병원,소아청소년과
제주대학교병원,제주,제주시,종합병원,소아청소년과
제주특별자치도 서귀포의료원,제주,서귀포시,종합병원,소아청소년과
제주한라병원,제주,제주시,종합병원,소아청소년과
좋은문화병원,부산,부산동구,종합병원,소아청소년과
중앙대학교광명병원,경기,광명시,종합병원,소아청소년과
차의과학대학교 강남차병원,서울,강남구,종합병원,소아청소년과
차의과학대학교부속구미차병원,경북,구미시,종합병원,소아청소년과
차의과학대학교분당차병원,경기,성남분당구,종합병원,소아청소년과
참조은병원,경기,광주시,종합병원,소아청소년과
창원경상국립대학교병원,경남,창원성산구,종합병원,소아청소년과
창원파티마병원,경남,창원의창구,종합병원,소아청소년과
창원한마음병원,경남,창원의창구,종합병원,소아청소년과
첨단종합병원,전남광주,광주광산구,종합병원,소아청소년과
청주성모병원,충북,청주청원구,종합병원,소아청소년과
추병원,경기,의정부시,종합병원,소아청소년과
충청남도 공주의료원,충남,공주시,종합병원,소아청소년과
충청남도 서산의료원,충남,서산시,종합병원,소아청소년과
충청남도 천안의료원,충남,천안동남구,종합병원,소아청소년과
충청남도 홍성의료원,충남,홍성군,종합병원,소아청소년과
충청북도 청주의료원,충북,청주서원구,종합병원,소아청소년과
충청북도 충주의료원,충북,충주시,종합병원,소아청소년과
포항성모병원,경북,포항남구,종합병원,소아청소년과
하남성심병원,전남광주,광주광산구,종합병원,소아청소년과
학교법인 가톨릭학원 가톨릭대학교 대전성모병원,대전,대전중구,종합병원,소아청소년과
학교법인 을지학원 대전을지대학교병원,대전,대전서구,종합병원,소아청소년과
학교법인 을지학원 의정부을지대학교병원,경기,의정부시,종합병원,소아청소년과
학교법인)동의병원,부산,부산진구,종합병원,소아청소년과
한국보훈복지의료공단 대구보훈병원,대구,대구달서구,종합병원,소아청소년과
한국보훈복지의료공단 부산보훈병원,부산,부산사상구,종합병원,소아청소년과
한국보훈복지의료공단 중앙보훈병원,서울,강동구,종합병원,소아청소년과
한국원자력의학원원자력병원,서울,노원구,종합병원,소아청소년과
한림대학교 강남성심병원,서울,영등포구,종합병원,소아청소년과
한림대학교 한강성심병원,서울,영등포구,종합병원,소아청소년과
한림대학교동탄성심병원,경기,화성동탄구,종합병원,소아청소년과
한림대학교춘천성심병원,강원,춘천시,종합병원,소아청소년과
한림병원,인천,인천계양구,종합병원,소아청소년과
한마음병원,제주,제주시,종합병원,소아청소년과
한양대학교구리병원,경기,구리시,종합병원,소아청소년과
한일병원,경남,진주시,종합병원,소아청소년과
해남우리종합병원,전남광주,해남군,종합병원,소아청소년과
현대병원,경기,남양주시,종합병원,소아청소년과
현대유비스병원,인천,인천미추홀구,종합병원,소아청소년과
홍익병원,서울,양천구,종합병원,소아청소년과
홍천아산병원,강원,홍천군,종합병원,소아청소년과
화성유일병원,경기,화성만세구,종합병원,소아청소년과
효산의료재단 안양샘병원,경기,안양만안구,종합병원,소아청소년과
효산의료재단 지샘병원,경기,군포시,종합병원,소아청소년과
